object_tag,num_obj,percentAGN,error
1389.0,23.0,0.0,0.0
1412.0,10.0,30.0,19.748
1415.0,12.0,25.0,16.137
1416.0,8.0,37.5,25.388
1422.0,20.0,0.0,0.0
1443.0,22.0,0.0,0.0
1445.0,24.0,0.0,0.0
1449.0,24.0,0.0,0.0
1454.0,7.0,28.571,22.908
1495.0,21.0,0.0,0.0
1502.0,22.0,0.0,0.0
1519.0,26.0,0.0,0.0
1527.0,21.0,0.0,0.0
1531.0,16.0,0.0,0.0
1532.0,7.0,14.286,15.272
1535.0,22.0,0.0,0.0
1554.0,26.0,0.0,0.0
1555.0,25.0,0.0,0.0
1559.0,26.0,0.0,0.0
1561.0,23.0,0.0,0.0
1565.0,13.0,0.0,0.0
1582.0,23.0,0.0,0.0
1586.0,5.0,0.0,0.0
1588.0,27.0,0.0,0.0
1591.0,22.0,0.0,0.0
1593.0,27.0,0.0,0.0
1595.0,25.0,0.0,0.0
1603.0,23.0,0.0,0.0
1613.0,17.0,0.0,0.0
1623.0,27.0,0.0,0.0
1632.0,24.0,0.0,0.0
1633.0,27.0,0.0,0.0
1673.0,24.0,0.0,0.0
1691.0,27.0,77.778,22.63
1700.0,11.0,18.182,13.976
1701.0,24.0,0.0,0.0
1704.0,9.0,11.111,11.712
1744.0,22.0,0.0,0.0
1776.0,23.0,0.0,0.0
1782.0,23.0,0.0,0.0
1784.0,23.0,0.0,0.0
1793.0,25.0,0.0,0.0
1797.0,23.0,0.0,0.0
1831.0,22.0,0.0,0.0
1839.0,21.0,4.762,4.874
1873.0,24.0,0.0,0.0
1874.0,27.0,3.704,3.772
1876.0,24.0,0.0,0.0
1892.0,25.0,0.0,0.0
1897.0,23.0,0.0,0.0
1976.0,23.0,0.0,0.0
1995.0,23.0,0.0,0.0
2010.0,26.0,0.0,0.0
2011.0,23.0,4.348,4.441
2020.0,25.0,0.0,0.0
2026.0,20.0,0.0,0.0
2043.0,24.0,0.0,0.0
2045.0,25.0,0.0,0.0
2054.0,22.0,4.545,4.648
2066.0,23.0,0.0,0.0
2072.0,25.0,0.0,0.0
2078.0,5.0,20.0,21.909
2115.0,22.0,0.0,0.0
2120.0,24.0,0.0,0.0
2121.0,4.0,50.0,43.301
2134.0,8.0,12.5,13.258
2135.0,23.0,0.0,0.0
2136.0,11.0,0.0,0.0
2137.0,25.0,0.0,0.0
2154.0,27.0,0.0,0.0
2155.0,8.0,25.0,19.764
2157.0,25.0,4.0,4.079
2159.0,26.0,0.0,0.0
2163.0,24.0,0.0,0.0
2164.0,27.0,0.0,0.0
2211.0,22.0,0.0,0.0
2224.0,26.0,3.846,3.919
2229.0,26.0,0.0,0.0
2230.0,26.0,7.692,5.645
2232.0,24.0,0.0,0.0
2246.0,25.0,0.0,0.0
2248.0,26.0,0.0,0.0
2253.0,4.0,25.0,27.951
2258.0,28.0,0.0,0.0
2261.0,23.0,0.0,0.0
2277.0,26.0,0.0,0.0
2291.0,29.0,0.0,0.0
2303.0,30.0,3.333,3.388
2306.0,20.0,5.0,5.123
2317.0,29.0,0.0,0.0
2319.0,9.0,22.222,17.372
2323.0,28.0,0.0,0.0
2331.0,27.0,0.0,0.0
2335.0,23.0,0.0,0.0
2337.0,27.0,0.0,0.0
2339.0,21.0,0.0,0.0
2345.0,24.0,4.167,4.253
2366.0,22.0,0.0,0.0
2373.0,22.0,0.0,0.0
2396.0,23.0,0.0,0.0
2401.0,22.0,0.0,0.0
2426.0,9.0,11.111,11.712
2428.0,22.0,0.0,0.0
2431.0,19.0,5.263,5.4
2432.0,4.0,50.0,43.301
2446.0,21.0,0.0,0.0
2452.0,23.0,4.348,4.441
2461.0,23.0,0.0,0.0
2468.0,24.0,0.0,0.0
2469.0,24.0,0.0,0.0
2492.0,22.0,0.0,0.0
2592.0,21.0,0.0,0.0
2594.0,21.0,0.0,0.0
2601.0,21.0,0.0,0.0
2612.0,23.0,0.0,0.0
2614.0,26.0,0.0,0.0
2646.0,6.0,33.333,27.217
2650.0,16.0,25.0,13.975
2656.0,23.0,0.0,0.0
2660.0,6.0,16.667,18.002
2671.0,26.0,0.0,0.0
2672.0,25.0,0.0,0.0
2691.0,23.0,0.0,0.0
2720.0,15.0,20.0,12.649
2723.0,24.0,0.0,0.0
2735.0,13.0,0.0,0.0
2739.0,25.0,0.0,0.0
2781.0,22.0,0.0,0.0
2806.0,7.0,14.286,15.272
2839.0,22.0,0.0,0.0
2842.0,23.0,0.0,0.0
2843.0,24.0,0.0,0.0
2847.0,23.0,0.0,0.0
2881.0,12.0,16.667,12.729
2883.0,21.0,0.0,0.0
2885.0,16.0,18.75,11.797
2912.0,23.0,0.0,0.0
2939.0,6.0,33.333,27.217
2963.0,24.0,0.0,0.0
2968.0,24.0,0.0,0.0
2975.0,20.0,0.0,0.0
2992.0,22.0,4.545,4.648
3002.0,21.0,4.762,4.874
3006.0,21.0,0.0,0.0
3015.0,27.0,0.0,0.0
3029.0,19.0,0.0,0.0
3036.0,6.0,50.0,35.355
3044.0,18.0,0.0,0.0
3048.0,24.0,0.0,0.0
3068.0,21.0,0.0,0.0
3083.0,7.0,57.143,35.816
3102.0,15.0,6.667,6.885
3105.0,23.0,0.0,0.0
3117.0,27.0,88.889,24.937
3119.0,26.0,3.846,3.919
3148.0,22.0,0.0,0.0
3154.0,18.0,5.556,5.708
3183.0,24.0,0.0,0.0
3203.0,23.0,0.0,0.0
3214.0,24.0,0.0,0.0
3226.0,22.0,0.0,0.0
3245.0,23.0,0.0,0.0
3285.0,14.0,0.0,0.0
3291.0,20.0,0.0,0.0
3312.0,24.0,0.0,0.0
3316.0,14.0,7.143,7.394
3336.0,19.0,0.0,0.0
3378.0,14.0,0.0,0.0
3387.0,24.0,0.0,0.0
3393.0,22.0,0.0,0.0
3422.0,25.0,0.0,0.0
3427.0,11.0,0.0,0.0
3460.0,24.0,0.0,0.0
3465.0,13.0,0.0,0.0
3473.0,4.0,50.0,43.301
3479.0,17.0,11.765,8.795
3489.0,20.0,0.0,0.0
3493.0,22.0,90.909,28.087
3521.0,24.0,0.0,0.0
3612.0,22.0,0.0,0.0
3617.0,22.0,0.0,0.0
3622.0,22.0,0.0,0.0
3625.0,22.0,0.0,0.0
3663.0,16.0,0.0,0.0
3676.0,15.0,6.667,6.885
3687.0,22.0,4.545,4.648
3692.0,7.0,71.429,41.824
3702.0,23.0,0.0,0.0
3704.0,24.0,0.0,0.0
3710.0,20.0,0.0,0.0
3712.0,24.0,0.0,0.0
3723.0,25.0,4.0,4.079
3738.0,20.0,0.0,0.0
3745.0,22.0,0.0,0.0
3765.0,22.0,0.0,0.0
3842.0,26.0,0.0,0.0
3854.0,22.0,0.0,0.0
3895.0,26.0,0.0,0.0
3898.0,22.0,4.545,4.648
3905.0,22.0,0.0,0.0
3918.0,20.0,0.0,0.0
3930.0,22.0,0.0,0.0
3943.0,22.0,0.0,0.0
3945.0,23.0,4.348,4.441
3976.0,21.0,0.0,0.0
3979.0,20.0,5.0,5.123
3991.0,11.0,9.091,9.495
3999.0,18.0,0.0,0.0
4004.0,21.0,0.0,0.0
4006.0,11.0,27.273,17.764
4012.0,7.0,28.571,22.908
4030.0,19.0,0.0,0.0
4037.0,21.0,0.0,0.0
4040.0,26.0,0.0,0.0
4044.0,23.0,0.0,0.0
4056.0,24.0,0.0,0.0
4063.0,12.0,50.0,25.0
4067.0,22.0,0.0,0.0
4068.0,23.0,0.0,0.0
4070.0,13.0,15.385,11.685
4081.0,23.0,0.0,0.0
4083.0,21.0,0.0,0.0
4088.0,23.0,0.0,0.0
4091.0,20.0,0.0,0.0
4115.0,24.0,0.0,0.0
4125.0,23.0,0.0,0.0
4139.0,24.0,0.0,0.0
4155.0,10.0,40.0,23.664
4213.0,17.0,5.882,6.053
4219.0,24.0,0.0,0.0
4245.0,23.0,0.0,0.0
4251.0,18.0,16.667,10.393
4274.0,22.0,0.0,0.0
4279.0,23.0,0.0,0.0
4289.0,19.0,0.0,0.0
4307.0,8.0,25.0,19.764
4322.0,21.0,0.0,0.0
4334.0,20.0,0.0,0.0
4342.0,23.0,0.0,0.0
4353.0,23.0,0.0,0.0
4365.0,21.0,0.0,0.0
4368.0,19.0,10.526,7.825
4415.0,21.0,0.0,0.0
4425.0,24.0,0.0,0.0
4442.0,5.0,40.0,33.466
4555.0,24.0,0.0,0.0
4635.0,23.0,0.0,0.0
4659.0,23.0,0.0,0.0
4674.0,20.0,0.0,0.0
4678.0,23.0,0.0,0.0
4708.0,23.0,8.696,6.411
4714.0,20.0,0.0,0.0
4720.0,24.0,0.0,0.0
4755.0,23.0,0.0,0.0
4757.0,22.0,0.0,0.0
4760.0,22.0,0.0,0.0
4805.0,23.0,0.0,0.0
4815.0,24.0,0.0,0.0
4875.0,26.0,0.0,0.0
4926.0,23.0,0.0,0.0
4952.0,19.0,0.0,0.0
5035.0,23.0,0.0,0.0
5044.0,22.0,0.0,0.0
5046.0,23.0,0.0,0.0
5083.0,13.0,7.692,7.983
5121.0,24.0,0.0,0.0
5137.0,25.0,0.0,0.0
5144.0,21.0,0.0,0.0
5159.0,20.0,5.0,5.123
5166.0,4.0,75.0,57.282
5167.0,22.0,0.0,0.0
