object_tag,num_obj,Pr,vflag,RA,DEC,PLATE,FIBERID,MJD,rabsmag_NSA,Z,SFR,sSFR,BPTclass,HImass,u_r,g_r,u_r_err,g_r_err,cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,W1-W2,W2-W3
419419.0,11.0,0.1050447522333659,0,170.40247728388917,40.15599199842492,1980,637,53433,-16.037548065185547,0.0064466814510524,-1.8607622385025024,-10.14506721496582,2.0,,1.3937807083129885,0.4473133087158203,0.0873202026882885,0.0352457759603943,151079.0,1.0768,18.227904,170.40247728,40.155991998,170.4025997,40.1562761,14.962,0.032,34.1,14.847,0.065,16.7,12.215,,1.5,8.903,,0.0,0.11500000000000021,2.6319999999999997
420302.0,6.0,0.0714181231270984,0,188.74290393396657,40.964473318825085,1984,533,53433,-15.16978359222412,0.0078356880694627,-1.8305985927581787,-9.610462188720703,1.0,,1.3364801406860352,0.4027366638183594,0.1047554196211657,0.0351497416662866,151373.0,0.488845,95.925649,188.74290393,40.964473319,188.7430828,40.9644593,15.187,0.037,29.7,14.963,0.068,15.9,12.516,0.451,2.4,8.837,,-0.6,0.2240000000000002,2.446999999999999
421039.0,8.0,-0.3498698418128836,0,192.33929868518567,34.258408306539565,1987,493,53765,-16.460681915283203,0.0223553609102964,-0.9537887573242188,-10.0,1.0,,1.9801559448242188,0.6343975067138672,0.2006352418894263,0.0390568224390092,151663.0,0.074359,39.258267,192.33929869,34.258408307,192.3393145,34.2584243,15.287,0.038,28.5,15.074,0.072,15.0,11.263,0.142,7.7,8.629,0.319,3.4,0.21300000000000097,3.811
421063.0,18.0,0.1693594291916908,0,192.6562657850983,34.82746093164497,1987,540,53765,-16.798324584960938,0.0229556523263454,-0.9075995683670044,-9.8214750289917,1.0,,1.6537513732910156,0.5269489288330078,0.1015398897475893,0.0312225516688687,151678.0,0.195451,20.456059,192.65626579,34.827460932,192.6562889,34.8275118,14.794,0.03,36.0,14.633,0.056,19.3,10.907,0.121,9.0,8.97,0.492,2.2,0.16100000000000136,3.725999999999999
422454.0,6.0,0.0675683435513406,0,203.98500257177253,34.68722040526269,1993,103,53762,-16.930482864379883,0.0252107065171003,-1.8670212030410769,-11.064778327941896,2.0,,2.0529794692993164,0.7271690368652344,0.2210133147551412,0.0373826975867703,152419.0,0.484442,124.028874,203.98500257,34.687220405,203.9851382,34.6871451,15.226,0.033,32.5,15.184,0.068,16.0,12.579,0.48,2.3,8.875,,0.2,0.04200000000000159,2.6049999999999986
422481.0,5.0,-0.0546351056196652,0,203.6955955909104,34.57925661260803,1993,143,53762,-16.732894897460938,0.0238151419907808,-2.3908045291900635,-11.552120208740234,-1.0,,2.1215734481811523,0.6808261871337891,0.1409318166827054,0.0307229027358651,152434.0,0.113552,146.204738,203.69559559,34.579256613,203.6956169,34.5792304,15.017,0.032,34.2,15.004,0.06,18.0,12.836,,-1.0,9.216,,-0.2,0.0129999999999999,2.1679999999999993
422637.0,9.0,-0.1496290170902035,0,203.0892978719132,34.71907032597416,1993,480,53762,-16.867351531982422,0.025262588635087,-0.921065092086792,-9.675037384033203,1.0,,1.4796085357666016,0.496896743774414,0.0898621941111632,0.0315458330921833,152522.0,0.832132,-7.492929,203.08929787,34.719070326,203.0892612,34.7192995,15.15,0.034,32.2,14.923,0.059,18.2,11.405,0.165,6.6,8.393,0.243,4.5,0.2270000000000003,3.5180000000000007
422883.0,22.0,-0.1190107665793367,0,191.9060480674141,31.724718156734887,1994,285,53845,-16.970645904541016,0.0150994937866926,-1.140835165977478,-9.897941589355469,1.0,,1.4023799896240234,0.4101924896240234,0.1321888712815642,0.0293302065621248,152669.0,0.044176,144.2318,191.90604807,31.724718157,191.9060565,31.7247082,14.212,0.027,40.0,14.136,0.04,27.0,10.775,0.088,12.4,8.798,0.394,2.8,0.07600000000000051,3.360999999999999
422928.0,22.0,-0.3919466654782206,0,193.57495157874803,32.3689757898068,1994,440,53845,-16.992517471313477,0.0224622096866369,-0.7761861681938171,-10.284419059753418,1.0,,2.318143844604492,0.7146930694580078,0.1615499661971103,0.0313369528173975,152689.0,0.184047,-92.342721,193.57495158,32.36897579,193.5748911,32.3689737,13.954,0.026,41.3,13.769,0.035,31.1,10.079,0.061,17.7,8.542,0.293,3.7,0.1850000000000005,3.6899999999999995
423330.0,23.0,0.4318522782179051,0,171.75699363936005,38.93048070907867,1996,133,53436,-16.429636001586914,0.0065001971088349,-2.297646999359131,-10.981117248535156,-1.0,,1.940401077270508,0.626255989074707,0.0938326061320941,0.0334770078991187,152918.0,0.294841,134.6025,171.75699364,38.930480709,171.7570686,38.9304232,14.09,0.026,41.5,14.034,0.036,30.2,12.42,,0.9,9.143,,0.1,0.05599999999999916,1.6140000000000008
423383.0,23.0,0.211178107325602,0,171.02694340428638,38.85643814829574,1996,243,53436,-16.529691696166992,0.0066037247888743,-2.599032163619995,-11.702479362487791,-1.0,,2.2053184509277344,0.7090015411376953,0.0674867500498373,0.0347118655417747,152943.0,1.333253,165.559819,171.0269434,38.856438148,171.027062,38.8560795,13.193,0.033,33.4,13.281,0.038,28.9,12.275,,0.9,8.636,,-1.0,-0.08800000000000097,1.0060000000000002
424314.0,23.0,0.3596578509425493,0,189.7371870535352,38.09025544688378,2000,225,53495,-16.57777976989746,0.0074445460923016,-1.155465006828308,-9.439250946044922,1.0,,1.1847867965698242,0.300302505493164,0.0623077046608583,0.0289635590834605,153349.0,0.127448,-44.724734,189.73718705,38.090255447,189.7371554,38.0902806,13.615,0.024,45.4,13.584,0.032,33.6,10.992,0.124,8.8,8.009,0.163,6.6,0.031000000000000583,2.5919999999999987
425003.0,21.0,-0.1864036151957597,0,200.67024329962496,29.34212293982015,2002,552,53471,-16.901731491088867,0.0238042492419481,-0.9421523213386536,-9.447608947753906,1.0,9.35,1.4533414840698242,0.3762378692626953,0.1688085731274734,0.0381469566804277,153642.0,5.225744,-40.319616,200.6702433,29.34212294,200.6691658,29.3432297,14.206,0.026,41.5,14.269,0.041,26.5,12.541,,0.4,8.996,,0.3,-0.06300000000000061,1.7279999999999998
425387.0,6.0,0.3941474457092886,0,182.7487700314548,31.986707005283915,2004,191,53737,-16.992752075195312,0.0222002211958169,-1.8419190645217896,-10.982142448425291,2.0,,1.851694107055664,0.6416568756103516,0.1369805756719402,0.0350018521355105,153767.0,0.40044,51.664097,182.74877003,31.986707005,182.7488729,31.986776,14.93,0.031,34.5,14.978,0.068,15.9,12.458,0.41,2.6,9.279,,-0.3,-0.04800000000000004,2.5199999999999996
