NSAID,RA
1364,150.77972030422484
1365,150.8774201864169
1369,150.81915854691053
1373,150.9034110641024
1379,150.61839591132772
1383,150.80340834466466
1389,150.91497460669382
1412,151.09575480826118
1414,151.14364607113853
1415,150.94242375250113
1416,151.0389409546037
1422,151.26800925083714
1443,151.5801952718358
1445,151.15529744775642
1449,151.05718040704136
1454,151.12792534402467
1495,151.922708539837
1502,151.66425432330556
1519,152.03853990555857
1527,153.65339403075956
1531,153.52526043175905
1532,153.47624083579768
1535,153.5812722281416
1554,153.41711275179756
1555,153.38244486562837
1559,153.44511740592728
1561,153.46117915321162
1564,153.47156501528326
1565,153.50267576502995
1582,153.34610410548572
1586,153.34040707640304
1588,153.3519943335182
1591,153.16943487606432
1593,153.35702301825316
1595,153.35725277187373
1603,153.4667813368309
1613,153.07201349692423
1617,152.9842826858358
1623,153.33226416409192
1632,152.72962252865767
1633,152.71321438556228
1638,152.67496861055994
1673,152.36872769182452
1691,152.20893366086378
1700,152.25672586023282
1701,152.31564662536803
1704,151.60515441126438
1711,152.1080848882858
1738,152.09421522981984
1744,152.1881186476947
1776,152.5846549052587
1782,152.52899952711334
1784,152.6326247186322
1793,152.8244382106858
1797,153.33652746011637
1831,153.60509333651996
1839,153.5079738292913
1854,153.74769388099344
1873,153.91699619285345
1874,153.84530367068064
1876,153.85950412694532
1892,155.40575708264413
1897,155.4840312361578
1910,154.89266979439165
1968,154.65694596052526
1976,154.5090252139396
1995,154.40250752472662
2007,153.95998700319382
2010,153.89881735624945
2011,153.97136966345985
2020,154.26600452214376
2026,154.3353301661585
2043,154.066900843489
2045,154.00267384310433
2054,153.9550004807554
2066,153.5832307060748
2072,153.62058709373306
2078,153.8559587454055
2115,153.82628565665564
2120,153.97340883640442
2121,154.0976006800864
2134,154.02456756067957
2135,154.03910106482698
2136,154.01698484260953
2137,154.08242157686306
2152,154.18088748948264
2154,154.22881744120753
2155,154.23436791146605
2157,154.31274012347413
2159,154.22345986277375
2163,154.33477067585966
2164,154.50654520489272
2211,154.60833079182342
2224,155.07393580984677
2229,155.16423748962063
2230,155.1375549067224
2232,154.92794938990346
2245,155.39169833839233
2246,155.42221358524685
2248,155.41172378510993
2253,155.27435929543242
2258,155.28190449068825
2261,155.38136109112764
2277,155.59601768424614
2291,157.46936516837718
2303,156.63633440041548
2306,157.09540381372423
2317,156.18004997050537
2319,156.24042282415587
2323,156.5589684331901
2331,156.08770522919698
2335,156.35643691187735
2337,156.41128166020096
2339,156.44897461719535
