object_tag,num_obj,Pr,vflag,RA,DEC,PLATE,FIBERID,MJD,rabsmag_NSA,Z,SFR,sSFR,BPTclass,HImass,u_r,g_r,u_r_err,g_r_err,cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,W1-W2,W2-W3
194615.0,14.0,0.7029530987889252,1,161.04166030176356,6.966599237333337,1001,357,52670,-16.94620132446289,0.0194222014397382,-0.9346240162849426,-9.662684440612791,1.0,,1.2435379028320312,0.3834648132324219,0.1036037924756513,0.0447857931966154,20853.0,0.27148,-143.394926,161.0416603,6.9665992373,161.041615,6.9665387,14.697,0.031,35.5,14.725,0.065,16.7,12.072,0.376,2.9,8.633,,0.4,-0.02800000000000047,2.6530000000000005
194776.0,9.0,0.5589017298115576,1,165.07969382776793,6.241553139706177,1002,54,52646,-16.5244197845459,0.0155385630205273,-0.860246479511261,-9.12841510772705,1.0,,0.9387283325195312,0.257974624633789,0.0657381236082346,0.0293864587510961,20885.0,0.474717,65.987794,165.07969383,6.2415531397,165.079815,6.2416068,15.083,0.036,30.1,14.742,0.067,16.1,11.054,0.148,7.3,8.545,0.417,2.6,0.3409999999999993,3.6880000000000006
198657.0,24.0,0.1315280490365955,1,171.88613430651264,53.915134791618485,1014,254,52707,-16.961551666259766,0.0098792957141995,-0.5759479403495789,-8.602537155151367,1.0,,0.8914051055908203,0.198760986328125,0.0674091985160971,0.0296536370296196,21470.0,0.42149,35.591558,171.88613431,53.915134792,171.88625,53.91523,14.704,0.03,35.9,14.34,0.043,25.4,10.431,0.066,16.3,6.975,0.071,15.2,0.36400000000000077,3.9090000000000007
198760.0,5.0,0.3785971265994201,1,172.66895908226974,54.84202879399069,1014,428,52707,-16.462162017822266,0.0208499357104301,-1.3193293809890747,-10.047905921936035,1.0,,1.5596942901611328,0.4972114562988281,0.1175329476983211,0.0353607584451251,21477.0,0.31354,38.240229,172.66895908,54.842028794,172.6690527,54.8420972,15.337,0.038,28.6,15.291,0.076,14.3,12.68,0.474,2.3,8.952,,0.4,0.045999999999999375,2.6110000000000007
199335.0,21.0,0.4404936774320901,1,179.26420217210557,54.277168124063294,1016,25,52759,-16.098175048828125,0.0127318641170859,-1.2570902109146118,-9.554351806640623,1.0,,1.2370309829711914,0.3818349838256836,0.0850638266858202,0.0308532178369013,21517.0,0.225455,88.558008,179.26420217,54.277168124,179.2643094,54.2771697,14.904,0.032,34.0,14.736,0.057,19.1,12.358,0.352,3.1,8.924,0.463,2.3,0.16799999999999926,2.378
199825.0,17.0,-0.1823635647963067,1,179.3823801724322,54.18420732363844,1017,99,52706,-15.75260066986084,0.0127562545239925,-1.2663888931274414,-9.740814208984377,1.0,,1.236358642578125,0.3426723480224609,0.068554243444597,0.0303395659282055,21547.0,0.078288,129.129199,179.38238017,54.184207324,179.382409,54.1841936,14.945,0.031,34.5,14.83,0.062,17.5,11.513,0.176,6.2,8.333,0.27,4.0,0.11500000000000021,3.317
200156.0,9.0,-0.0685133022741936,1,180.331624608687,55.46490245315484,1017,589,52706,-16.784902572631836,0.0170864164829254,-1.1138665676116943,-9.71157169342041,1.0,,1.2051868438720703,0.414926528930664,0.0837303463978914,0.0351832425389858,21570.0,0.56702,147.374426,180.33162461,55.464902453,180.3317744,55.4647698,15.222,0.035,31.0,15.04,0.067,16.3,12.168,,1.7,8.888,,0.5,0.18200000000000038,2.872
200643.0,6.0,-0.717503003377177,1,184.84109832264247,54.85898301993637,1019,180,52707,-16.495229721069336,0.0174939557909965,-1.1771011352539062,-9.542377471923828,1.0,,1.354771614074707,0.3777656555175781,0.0758947164353755,0.030802314128824,21625.0,0.606353,-41.637101,184.84109832,54.85898302,184.8409039,54.8591089,15.087,0.031,34.6,14.95,0.056,19.3,12.367,0.32,3.4,9.074,,0.1,0.13700000000000045,2.5829999999999984
200919.0,6.0,-0.347339986829665,1,188.9088372502985,54.23055503584332,1020,148,52721,-16.87889862060547,0.0179613716900348,-1.3291865587234497,-10.281641960144045,2.0,,1.6634197235107422,0.501007080078125,0.1413054568934176,0.0358287592251483,21667.0,0.256772,55.241395,188.90883725,54.230555036,188.9089375,54.2305957,15.153,0.033,32.9,14.986,0.059,18.5,12.757,,-0.9,8.903,,0.5,0.16699999999999982,2.229000000000001
206705.0,23.0,-0.3323949293472865,1,193.8548819101204,53.44249228441463,1039,287,52707,-16.635908126831055,0.0234244801104068,-2.1236162185668945,-11.451107025146484,2.0,,1.6217079162597656,0.72027587890625,0.645574817064123,0.0415895636753597,21758.0,0.480115,-29.898562,193.85488191,53.442492284,193.8547703,53.4426079,14.673,0.03,36.4,14.284,0.042,26.1,11.983,0.25,4.3,8.779,,1.1,0.38899999999999935,2.301
