object_tag,num_obj,Pr
1093.0,24.0,0.9342814688041958
1095.0,16.0,0.7827013608808837
1099.0,24.0,0.9321386988534716
1108.0,25.0,0.5502344069520564
1114.0,23.0,0.9158387177246581
1124.0,25.0,0.9922576096697242
1126.0,6.0,0.985785515267439
1127.0,19.0,0.0006073800753035149
1133.0,25.0,0.09617634775780877
1153.0,24.0,0.8047403495908827
1173.0,23.0,0.6988909446486751
1214.0,28.0,0.9985912313456802
1220.0,19.0,-0.010367934620430404
1235.0,8.0,0.9103515193611235
1259.0,22.0,0.4377288605293858
1275.0,25.0,-0.2151019974621169
1284.0,22.0,-0.01785324017020972
1299.0,8.0,0.758698545186676
1308.0,21.0,0.7972513859277061
1319.0,25.0,0.9743461937082862
1329.0,22.0,0.9344770948873908
1335.0,24.0,0.9528088056166206
1337.0,23.0,0.9262002235018498
1342.0,23.0,0.9921980483907294
1362.0,25.0,0.6275674676328427
1363.0,24.0,0.508061248553893
1364.0,25.0,0.9967306071593834
1365.0,22.0,0.8991912787487089
1369.0,23.0,0.9843121779418577
1373.0,23.0,0.6522027440771395
1379.0,22.0,0.04100511306948151
1383.0,23.0,0.8446058520551953
1389.0,23.0,0.9182780282147482
1412.0,10.0,0.6421030541354427
1415.0,12.0,0.5175800397537267
1416.0,8.0,0.5336526806155603
1422.0,20.0,0.36667196010085257
1443.0,22.0,0.9430939416841703
1445.0,24.0,0.17553839752026548
1449.0,24.0,0.9987254366490378
1454.0,7.0,-0.43745048960798794
1495.0,21.0,0.6133927044500056
1502.0,22.0,0.2852317677578905
1519.0,26.0,0.9983287210099249
1527.0,21.0,0.6124915399526626
1531.0,16.0,0.9555480753742542
1532.0,7.0,0.8306411070254978
1535.0,22.0,0.8436615300435757
1554.0,26.0,0.8206278620033437
1555.0,25.0,0.9952602571233116
1559.0,26.0,0.9994178524970466
1561.0,23.0,0.5258725061002626
1565.0,13.0,0.9429333606321982
1582.0,23.0,0.795498501978871
1586.0,5.0,0.8686965962385961
1588.0,27.0,0.9986664403308915
1591.0,22.0,0.7630001160322196
1593.0,27.0,0.9872318983629265
1595.0,25.0,0.5656343215019725
1603.0,23.0,0.9334311152849902
1613.0,17.0,0.1270293821654072
1623.0,27.0,0.7652145095004304
1632.0,24.0,0.9141069569524827
1633.0,27.0,0.9967223923744405
1673.0,24.0,0.9475232465271609
1691.0,27.0,0.9718442379934009
1700.0,11.0,0.7121962242574477
1701.0,24.0,0.9547883709941734
1704.0,9.0,0.5295719591337298
1744.0,22.0,0.8443688178225467
1776.0,23.0,0.9486887884364306
1782.0,23.0,0.5358924659102545
1784.0,23.0,0.8745047678994567
1793.0,25.0,0.9824738593371287
1797.0,23.0,0.11684741416913755
1831.0,22.0,0.9590403173817069
1839.0,21.0,0.26096981940825403
1873.0,24.0,0.9319482338270973
1874.0,27.0,0.8418709665304731
1876.0,24.0,0.9717080493841209
1892.0,25.0,0.9685700705009636
1897.0,23.0,0.4942606484616524
1976.0,23.0,0.9312103164783782
1995.0,23.0,-0.5485524135913933
2010.0,26.0,0.9825444001478173
2011.0,23.0,-0.21846295526199622
2020.0,25.0,0.9470932268185904
2026.0,20.0,0.7511343289417578
2043.0,24.0,0.8868107077979396
2045.0,25.0,0.9417340707241021
2054.0,22.0,0.30948584489053715
2066.0,23.0,0.7379751408419688
2072.0,25.0,0.9902679839795091
2078.0,5.0,-0.5919101619520204
2115.0,22.0,0.48447569106567134
2120.0,24.0,0.9740780137499068
2121.0,4.0,0.7409798931343913
2134.0,8.0,0.51257602920757
2135.0,23.0,0.9415966366467025
2136.0,11.0,0.9754679348166546
2137.0,25.0,0.9915714165581105
2154.0,27.0,0.8383006865549452
2155.0,8.0,0.5879286174407105
2157.0,25.0,0.40197806825965854
2159.0,26.0,0.6652013581586148
2163.0,24.0,0.9135703170851933
2164.0,27.0,0.8584745679006892
2211.0,22.0,0.49699459671932167
2224.0,26.0,0.4357467157001291
2229.0,26.0,0.9991333444767907
2230.0,26.0,0.4818961175682809
2232.0,24.0,0.9872791894706417
2246.0,25.0,0.5174800362857609
2248.0,26.0,0.6257302232162568
2253.0,4.0,0.1613631248793266
2258.0,28.0,0.9902847179785942
2261.0,23.0,0.761182846040385
2277.0,26.0,0.9921391154261912
2291.0,29.0,0.998199662478585
2303.0,30.0,0.8798250537638815
2306.0,20.0,0.6844316603060775
2317.0,29.0,0.9917775837516852
2319.0,9.0,0.6654680050944933
2323.0,28.0,0.9619893788648467
2331.0,27.0,0.9467911569062814
2335.0,23.0,0.34995034504943334
2337.0,27.0,0.986256156455532
2339.0,21.0,0.44083616746350063
2345.0,24.0,0.014783326900840285
2366.0,22.0,0.6196211421954478
2373.0,22.0,-0.11933801320595133
2396.0,23.0,0.8143469928176533
2401.0,22.0,0.9177558064962332
2426.0,9.0,0.9479509627572781
2428.0,22.0,0.06361721271632659
