z,d_M,d_L
0.00454,18.92628,19.0122
0.00455,18.96783,19.05414
0.00456,19.00939,19.09607
0.00457,19.05094,19.138
0.00458,19.09249,19.17994
0.00459,19.13404,19.22187
0.0046,19.1756,19.2638
0.00461,19.21715,19.30574
0.00462,19.2587,19.34768
0.00463,19.30025,19.38961
0.00464,19.3418,19.43155
0.00465,19.38336,19.47349
0.00466,19.42491,19.51543
0.00467,19.46646,19.55737
0.00468,19.50801,19.59931
0.00469,19.54956,19.64125
0.0047,19.59111,19.68319
0.00471,19.63266,19.72513
0.00472,19.67421,19.76707
0.00473,19.71576,19.80902
0.00474,19.75731,19.85096
0.00475,19.79886,19.89291
0.00476,19.84041,19.93485
0.00477,19.88196,19.9768
0.00478,19.92351,20.01874
0.00479,19.96506,20.06069
0.0048,20.00661,20.10264
0.00481,20.04815,20.14459
0.00482,20.0897,20.18654
0.00483,20.13125,20.22849
0.00484,20.1728,20.27044
0.00485,20.21435,20.31239
0.00486,20.2559,20.35434
0.00487,20.29744,20.39629
0.00488,20.33899,20.43824
0.00489,20.38054,20.4802
0.0049,20.42208,20.52215
0.00491,20.46363,20.56411
0.00492,20.50518,20.60606
0.00493,20.54672,20.64802
0.00494,20.58827,20.68998
0.00495,20.62981,20.73193
0.00496,20.67136,20.77389
0.00497,20.71291,20.81585
0.00498,20.75445,20.85781
0.00499,20.796,20.89977
0.005,20.83754,20.94173
0.00501,20.87909,20.98369
0.00502,20.92063,21.02565
0.00503,20.96218,21.06762
0.00504,21.00372,21.10958
0.00505,21.04526,21.15154
0.00506,21.08681,21.19351
0.00507,21.12835,21.23547
0.00508,21.16989,21.27744
0.00509,21.21144,21.3194
0.0051,21.25298,21.36137
0.00511,21.29452,21.40334
0.00512,21.33607,21.44531
0.00513,21.37761,21.48728
0.00514,21.41915,21.52925
0.00515,21.46069,21.57122
0.00516,21.50224,21.61319
0.00517,21.54378,21.65516
0.00518,21.58532,21.69713
0.00519,21.62686,21.7391
0.0052,21.6684,21.78108
0.00521,21.70994,21.82305
0.00522,21.75148,21.86503
0.00523,21.79302,21.907
0.00524,21.83456,21.94898
0.00525,21.8761,21.99095
0.00526,21.91764,22.03293
0.00527,21.95918,22.07491
0.00528,22.00072,22.11689
0.00529,22.04226,22.15887
0.0053,22.0838,22.20085
0.00531,22.12534,22.24283
0.00532,22.16688,22.28481
0.00533,22.20842,22.32679
0.00534,22.24996,22.36877
0.00535,22.2915,22.41076
0.00536,22.33303,22.45274
0.00537,22.37457,22.49472
0.00538,22.41611,22.53671
0.00539,22.45765,22.5787
0.0054,22.49919,22.62068
0.00541,22.54072,22.66267
0.00542,22.58226,22.70466
0.00543,22.6238,22.74664
0.00544,22.66533,22.78863
0.00545,22.70687,22.83062
0.00546,22.74841,22.87261
0.00547,22.78994,22.9146
0.00548,22.83148,22.95659
0.00549,22.87301,22.99859
0.0055,22.91455,23.04058
0.00551,22.95609,23.08257
0.00552,22.99762,23.12457
0.00553,23.03915,23.16656
0.00554,23.08069,23.20856
0.00555,23.12222,23.25055
0.00556,23.16376,23.29255
0.00557,23.20529,23.33455
0.00558,23.24683,23.37654
0.00559,23.28836,23.41854
0.0056,23.3299,23.46054
0.00561,23.37143,23.50254
0.00562,23.41296,23.54454
0.00563,23.45449,23.58654
0.00564,23.49603,23.62855
0.00565,23.53756,23.67055
0.00566,23.57909,23.71255
0.00567,23.62062,23.75455
0.00568,23.66216,23.79656
0.00569,23.70369,23.83856
0.0057,23.74522,23.88057
0.00571,23.78675,23.92257
0.00572,23.82828,23.96458
0.00573,23.86982,24.00659
0.00574,23.91135,24.0486
0.00575,23.95288,24.09061
0.00576,23.99441,24.13262
0.00577,24.03594,24.17463
0.00578,24.07747,24.21664
0.00579,24.119,24.25865
0.0058,24.16053,24.30066
0.00581,24.20206,24.34267
0.00582,24.24359,24.38469
0.00583,24.28512,24.4267
0.00584,24.32665,24.46871
0.00585,24.36818,24.51073
0.00586,24.4097,24.55275
0.00587,24.45123,24.59476
0.00588,24.49276,24.63678
0.00589,24.53429,24.6788
0.0059,24.57582,24.72082
0.00591,24.61735,24.76283
0.00592,24.65887,24.80485
0.00593,24.7004,24.84687
0.00594,24.74193,24.8889
0.00595,24.78345,24.93092
0.00596,24.82498,24.97294
0.00597,24.86651,25.01496
0.00598,24.90804,25.05699
0.00599,24.94956,25.09901
0.006,24.99109,25.14103
0.00601,25.03261,25.18306
0.00602,25.07414,25.22509
0.00603,25.11567,25.26711
0.00604,25.15719,25.30914
0.00605,25.19872,25.35117
0.00606,25.24024,25.3932
0.00607,25.28176,25.43523
0.00608,25.32329,25.47726
0.00609,25.36481,25.51929
0.0061,25.40634,25.56132
0.00611,25.44786,25.60335
0.00612,25.48939,25.64538
0.00613,25.53091,25.68741
0.00614,25.57243,25.72945
0.00615,25.61396,25.77148
0.00616,25.65548,25.81352
0.00617,25.697,25.85555
0.00618,25.73853,25.89759
0.00619,25.78005,25.93963
0.0062,25.82157,25.98166
0.00621,25.86309,26.0237
0.00622,25.90462,26.06574
0.00623,25.94614,26.10778
0.00624,25.98766,26.14982
0.00625,26.02918,26.19186
0.00626,26.0707,26.2339
0.00627,26.11222,26.27595
0.00628,26.15374,26.31799
0.00629,26.19526,26.36003
0.0063,26.23679,26.40208
0.00631,26.27831,26.44412
0.00632,26.31982,26.48617
0.00633,26.36135,26.52821
0.00634,26.40286,26.57026
0.00635,26.44438,26.61231
0.00636,26.4859,26.65435
0.00637,26.52742,26.6964
0.00638,26.56894,26.73845
0.00639,26.61046,26.7805
0.0064,26.65198,26.82255
0.00641,26.6935,26.8646
0.00642,26.73502,26.90665
0.00643,26.77653,26.94871
0.00644,26.81805,26.99076
0.00645,26.85957,27.03281
0.00646,26.90109,27.07487
0.00647,26.9426,27.11692
0.00648,26.98412,27.15898
0.00649,27.02564,27.20103
0.0065,27.06716,27.24309
0.00651,27.10867,27.28515
0.00652,27.15019,27.32721
0.00653,27.1917,27.36927
0.00654,27.23322,27.41133
