object_tag,PLATE,FIBERID,MJD,MPA_tag
2241104,2238,62,54205,780089
2240679,2242,88,54153,782216
2239370,2349,324,53734,802722
2241929,2236,73,53729,779286
2242063,2241,106,54169,781693
2241989,2240,261,53823,781290
2241849,2235,500,53847,779142
2241447,2221,66,53792,771892
2242050,2241,144,54169,781721
2242614,2240,235,53823,781271
216169,451,417,51908,98055
215792,443,257,51873,93900
216193,452,319,51911,98376
216730,608,459,52081,167681
216812,612,502,52079,169252
216923,616,444,52442,171358
220223,615,248,52347,170264
217097,620,44,52375,173027
216385,771,468,52370,239013
216514,604,420,52079,165937
216521,604,507,52079,165992
264950,507,305,52353,121312
217089,620,494,52375,173350
217071,620,433,52375,173310
218674,432,54,51884,88253
218618,431,63,51877,87903
218673,432,57,51884,88256
218598,431,98,51877,87917
219173,445,324,51873,94943
219638,486,207,51910,111475
218930,438,11,51884,90876
215664,439,267,51877,91504
219503,484,85,51907,110550
219868,498,282,51984,117116
219697,770,330,52282,238512
219939,606,558,52365,166900
219715,770,365,52282,238535
220624,626,583,52057,176368
219886,605,546,52353,166451
45959,307,185,51663,26039
220280,614,616,53437,170091
220380,618,541,52049,172421
225346,436,151,51883,89801
225212,432,112,51884,88291
222317,490,258,51929,113211
219107,442,115,51882,93283
48129,282,511,51658,9821
2386839,2519,249,54570,847074
219325,449,338,51900,96995
60016,277,135,51908,6174
60194,280,121,51612,8189
60166,279,4,51984,7571
60611,287,288,52023,13138
219840,604,446,52079,165954
59177,472,123,51955,106186
60609,286,2,51999,12418
61560,300,88,51943,21270
59743,272,253,51941,3796
2246822,2660,174,54504,886969
2247877,2662,635,54505,888169
2247054,2664,111,54524,888657
2350809,2581,600,54085,858371
36340,364,263,52000,47633
2353393,2482,82,54175,827828
2352022,2589,527,54174,862229
2353635,2498,98,54169,835869
2354069,2482,198,54175,827923
2353091,2506,51,54179,839968
2353559,2495,290,54175,834475
2354574,2515,188,54180,844688
2354447,2506,225,54179,840110
2354522,2509,180,54180,841616
2354214,2490,119,54179,831890
2354218,2490,67,54179,831852
2313252,2782,501,54592,909997
2354170,2490,270,54179,832012
2355345,2509,479,54180,841855
2353619,2498,214,54169,835960
2355783,2490,427,54179,832132
2354185,2490,186,54179,831942
2314775,2374,349,53765,813905
2353760,2509,209,54180,841638
2354955,2485,606,54176,829782
2354855,2482,433,54175,828115
2315177,2496,363,54178,835043
2357267,2608,138,54474,870822
2357850,2618,265,54506,875681
2335397,2791,341,54556,914418
2335884,2791,498,54556,914553
2336333,2618,230,54506,875649
2336401,2605,561,54484,869756
2220607,2292,407,53713,795721
2336750,2759,250,54534,898573
2220693,2298,344,53737,798731
2220803,2212,257,53789,767780
2223173,2245,167,54208,783641
2221143,2223,47,53793,772871
2223741,2216,266,53795,769722
2220876,2214,129,53794,768660
2221482,2238,135,54205,780154
2221393,2235,122,53847,778868
2222635,2233,288,53845,778054
2221228,2227,131,53820,774931
2495521,2433,188,53820,821433
2222144,2216,202,53795,769678
2495602,2436,206,54054,822930
2236946,2272,193,53713,787830
2222383,2221,93,53792,771912
2222762,2236,293,53729,779438
2223127,2245,251,54208,783710
2223478,2352,230,53770,804244
2223045,2243,135,53794,782721
2222396,2221,3,53792,771835
2223728,2216,263,53795,769719
2223753,2214,39,53794,768595
2222912,2241,220,54169,781789
2496070,2586,512,54169,860699
2495401,2426,65,53795,818393
2495668,2577,370,54086,856442
2407824,2491,589,53855,832716
2408086,2508,374,53875,841274
2405834,2483,63,53852,828332
2496007,2584,445,54153,859691
2405901,2487,75,53852,830366
2408736,1771,445,53498,615998
2409030,2597,70,54231,865602
2318065,2650,565,54505,882638
2316152,2769,544,54527,903754
2280330,2654,154,54231,884143
2316054,2654,334,54231,884273
2257149,2481,504,54086,827657
2289094,2507,378,53876,840759
2289183,2511,506,53882,842899
2286796,2653,520,54230,883956
2289586,2649,584,54212,882212
2291775,2659,48,54498,886438
2291576,2655,42,54184,884510
2288391,2371,538,53762,812639
2258770,2285,86,53700,792896
2291490,2514,250,53882,844237
2291315,2497,86,54154,835348
2291995,2653,610,54230,884019
2289261,2513,620,54141,844021
2291281,2493,203,54115,833407
2246534,2655,191,54184,884635
2350875,2585,353,54097,860088
36622,346,229,51693,40448
37909,283,128,51959,10004
36502,343,159,51692,39098
2247602,2658,388,54502,886206
38645,296,128,51984,18368
38163,288,4,52000,13405
38317,291,93,51928,15384
2351209,2593,302,54175,863984
2248043,2665,495,54232,889408
2248061,2665,559,54232,889456
40668,279,216,51984,7749
37140,343,377,51692,39248
38967,301,42,51942,22123
36869,345,382,51690,40134
38311,336,401,51999,35555
36612,345,77,51690,39909
39344,921,613,52380,302123
38530,340,451,51990,37947
2351794,2583,384,54095,859150
39079,916,566,52378,299976
2351241,2593,479,54175,864115
2363033,2613,468,54481,873454
2363533,2757,348,54509,897663
2361030,2615,356,54483,874270
2359818,2758,4,54523,897883
2359456,2641,257,54230,878422
2363734,2760,352,54506,899165
2363822,2760,596,54506,899353
2361731,2757,142,54509,897492
2364992,2612,461,54480,872984
2343838,2766,306,54242,902153
2361334,2619,316,54506,876193
2364855,2609,586,54476,871636
2361668,2757,386,54509,897694
2361670,2756,65,54508,896945
2365294,2618,601,54506,875939
2361991,2761,187,54534,899533
2365337,2641,466,54230,878557
2363914,2762,482,54533,900304
2364857,2610,343,54476,871926
2363349,2641,347,54230,878478
2365300,2619,464,54506,876289
2363740,2760,390,54506,899196
2363637,2758,271,54523,898079
2363823,2760,599,54506,899356
2363955,2763,400,54507,900739
2365490,2756,434,54508,897240
2434922,771,157,52370,238805
2364923,2610,581,54476,872098
2435073,770,574,52282,238663
2435205,771,459,52370,239008
2366658,2608,333,54474,870958
2365041,2613,497,54481,873476
2366892,2613,323,54481,873343
2502375,2574,604,54084,855487
2504477,2580,611,54092,857929
2502611,2578,276,54093,856816
2368179,2765,44,54535,901470
2502408,2575,431,54085,855711
2500993,2590,285,54175,862530
2502879,2584,588,54153,859804
2503790,2419,82,54139,815497
2503801,2419,53,54139,815472
2505501,2430,117,53815,819974
2503834,2421,219,54153,816384
2505937,2581,63,54085,857995
2506083,2589,15,54174,861831
2503973,2424,50,54448,817534
2504387,2579,129,54068,857149
64740,282,232,51658,9637
65161,288,184,52000,13542
2506553,2886,313,54498,919696
2504805,2592,352,54178,863563
2506130,2592,404,54178,863600
2505559,2433,103,53820,821376
65347,292,314,51609,16061
2504668,2586,433,54169,860634
68720,267,193,51608,1165
65499,294,239,51986,16908
2289493,2647,590,54495,881481
2292686,2426,486,53795,818652
2289468,2646,640,54479,881056
2293211,2583,366,54095,859136
2259876,2363,8,53763,808860
2260427,2361,623,53762,808369
2293362,2373,20,53768,813195
2291806,2648,377,54485,881723
2260859,2362,534,53759,808766
2336014,2793,372,54271,915462
2288459,2372,562,53768,813134
2227835,2240,481,53823,781461
2337219,2753,577,54234,895878
2336955,2748,605,54234,893414
2337409,2516,627,54241,845994
2337700,2529,15,54585,851282
2288760,2484,367,54144,829090
2338706,2755,239,54507,896576
2339646,2517,209,54567,846127
2339595,2754,450,54240,896243
2339665,2516,572,54241,845956
2340965,2756,198,54508,897047
2336829,2746,608,54232,892410
2337280,2754,444,54240,896240
2337294,2768,82,54265,902953
2337698,2529,18,54585,851284
2337480,2523,389,54572,849011
2337210,2767,202,54243,902557
2231379,2214,94,53794,768635
2337730,2532,173,54589,852636
2326205,2493,444,54115,833602
2338865,2757,67,54509,897435
2338933,2759,224,54534,898552
2338747,2755,56,54507,896432
2337413,2520,360,54584,847619
2210979,2228,578,53818,775768
2211247,2011,343,53499,701391
2212081,2267,256,53713,785794
2339735,2520,508,54584,847733
2326339,2501,412,54084,837662
2339885,2529,520,54585,851642
2213065,1974,77,53430,685002
2212698,2354,81,53799,805058
2213244,2224,563,53815,773739
2212490,2342,9,53742,799565
2212349,2291,45,53714,795164
2212515,2344,364,53740,800628
2215451,2425,362,54139,818150
2339868,2526,631,54582,850361
2326690,2657,536,54502,885856
2212848,1990,228,53472,691610
2216153,2422,446,54096,816922
2213509,2234,569,53823,778736
2210479,2358,455,53797,807067
2214746,2354,255,53799,805175
2217325,2268,151,53682,786173
2213568,1975,44,53734,685330
2213661,1994,76,53845,693234
2210732,2220,362,53795,771630
2212270,2280,555,53680,791196
2216286,2278,17,53711,790122
2212820,1981,12,53463,687808
2214654,1969,303,53383,683186
2214206,2009,578,53904,700666
2212317,2284,263,53708,792589
2214941,2354,142,53799,805099
2212653,2353,329,53794,804780
2213390,2232,340,53827,777601
2315898,2651,372,54507,882966
2205243,2220,153,53795,771482
2369351,2532,571,54589,852914
2367550,2760,569,54506,899331
2369250,2529,555,54585,851668
2368350,2768,291,54265,903104
2369214,2528,217,54571,850980
2370104,2531,172,54572,852201
2368377,2768,204,54265,903038
2371065,2525,13,54569,849649
2368443,2529,529,54585,851648
2370965,2782,318,54592,909876
164017,326,176,52375,30701
164251,329,146,52056,32044
2369568,2766,231,54242,902096
2369903,2523,447,54572,849051
2369987,2528,307,54571,851044
553200,775,191,52295,240311
2370017,2528,214,54571,850978
553762,789,411,52342,246675
553845,790,63,52441,247324
554306,813,44,52354,257598
554219,812,48,52352,257146
553461,781,28,52373,243114
553648,787,356,52320,245855
553931,793,331,52370,248797
553511,783,153,52325,244002
554228,813,340,52354,257798
554289,813,134,52354,257652
554273,813,163,52354,257671
555331,785,463,52339,245145
555648,792,147,52353,248263
555550,790,519,52441,247664
555971,812,19,52352,257125
556720,776,435,52319,240916
555426,788,388,52338,246278
556947,781,542,52373,243423
557503,792,25,52353,248191
556939,782,349,52320,243710
2370772,2531,622,54572,852505
2371422,2743,294,54259,890829
557392,791,485,52435,248068
557431,791,555,52435,248121
557513,793,488,52370,248897
164391,331,68,52368,32982
557412,791,520,52435,248092
555327,785,434,52339,245124
555577,791,427,52435,248029
2357274,2595,403,54207,864929
555778,795,351,52378,249630
2358727,2515,95,54180,844618
2357744,2616,41,54499,874477
2494901,2586,640,54169,860796
2494837,2584,602,54153,859815
2494937,2588,497,54174,861704
557718,812,376,52352,257387
2495720,2440,213,53818,824907
2413012,2883,531,54525,918648
2414457,2604,81,54484,868913
2412593,614,132,53437,169803
2416827,2598,511,54232,866366
2415294,2603,149,54479,868465
2417270,2606,346,54154,870058
2415979,2599,112,54234,866545
2417595,2512,323,53877,843271
2417602,2512,416,53877,843335
2413397,623,120,52051,174562
2413595,2884,101,54526,918759
2417863,2599,414,54234,866787
2416093,2601,108,54144,867527
2417677,2595,528,54207,865021
2416711,2596,514,54207,865458
2416744,2596,584,54207,865512
2418645,2608,283,54474,870921
2417292,2606,462,54154,870147
2418563,2506,19,54179,839947
189412,772,495,52375,239425
189439,773,274,52376,239649
2417279,2606,398,54154,870095
2417833,2598,488,54232,866350
2417884,2599,536,54234,866871
189714,600,480,52317,164212
2415216,2601,50,54144,867484
2415818,2597,494,54231,865911
2497073,1739,571,53050,601368
2415792,2596,67,54207,865141
189120,597,628,52059,162935
2498594,2576,99,54086,855867
2498445,2573,87,54061,854873
2408531,2598,241,54232,866171
2506577,2885,186,54497,919179
65566,295,265,51985,17425
68432,470,161,51929,105443
65307,291,276,51660,15008
2409082,2599,301,54234,866699
66286,313,275,51673,29295
2247788,2661,452,54505,887581
2246671,2657,112,54502,885551
2415840,2597,73,54231,865605
2246939,2662,560,54505,888112
